listing_id,id,date,reviewer_id,reviewer_name,comments
2515,198,13/10/08,2603,Jenny,Stephanie was a wonderful host! Her apartment was beautiful and extremely clean. We had a very nice (and affordable!) stay in the city with private room and own bathroom.
2515,859,8/3/09,8455,Roland,"Such a wonderful place and very close to the metro station on the line 1 2 3. She was awesome with us, it was a pleasure to stay in her appt. she's french, so last word ...
Merci encore stephanie pour ton hospitalité. On a passé un super séjour avec toi. Très disponible pour nous avec pleins de conseils, je vous recommande particulierement cette adresse qui plus est pour un prix raisonnable. Le metro est juste a 1 bloc de l'appartement et la ligne 1-2-3 est la plus centrale et la plus pratique de NYC. son quartier est vraiment tres sympa en plus !!! Allez y les yeux fermés."
2515,1083,25/3/09,9759,Cem,"I just got back from a trip to NYC during which I stayed at Stephanie's appartment. The bedroom and private bathroom that comes with it were both kept very clean and are spacious so that I could unpack my stuff and put my clothes away in the closet. I didn't have to live out of my rucksack for ten days which made me already feel comfortable.
The appartment is situated right at the north end of Central Park in Harlem and very close to different subway stations. I could either start my day with a morning stroll through the park and into the Upper West or Upper East Side, or catch the subway to get to Midtown, South Manhattan or Brooklyn in no time. So from a geographical vantage point the appartment is perfectly situated to discover the city.
But apart from all these facts it was above all Stephanie with her warm and welcoming nature that really made me feel comfortable during these days. It is very nice to come ""home"" in the evening, tired after a long day's strolling around, and end the day with a little chit-chat about one's experiences before falling into bed and, with thumb-in-mouth, sleep blissfully through till the next morning.
NYC, I will be back, and I know where I'll be staying! Thank you, Stephanie!!!"
2515,1107,27/3/09,9193,Holly,Stephanie's offered all the most important things: a warm welcome into a comfortable home; a comfortable bed in a quiet room; fresh & clean towels & blankets; and easy access to Manhattan.  Finding myself travelling to NYC in the future I feel I already have a open invitation to make home away from home through Stephanie's generousity.
2515,2175,9/5/09,7048,Alessandra,"Stephanie was really nice, ftiendly and helpful. The room was perfect and it was very easy to go around the town from there. :-)"
2515,2889,20/5/09,12521,Michael,"I was pleasantly surprised with my whole stay at Stepahnie's place. She is the most warm hearted and interesting person and her family is the same.
The whole place is clean aand as described in the ad. I'd go there again any time and thank Stph again for the wonderful stay.
Thanx"
2515,3213,27/5/09,5889,Becca,Stephanie's apt was great. Very convenient to anywhere in NYC you would want to go. Subway stop a block away. I would highly recommend staying there if you get a chance. 
2515,3313,30/5/09,15342,Sarah,"my husband and i had such a great time staying with stephanie! we stayed at chez chic for 3 nights and felt right at home the minute we walked in.  the room is a perfect size, plenty of room for the two of us and a good sized closet for our suitcases, everything was immaculate, clean towels and linens, and the location is great.   not only is stephanie a great hostess, she is also a great resource for things to do in the city which made our stay even better.  i would recommend stephanie to anyone traveling to new york and we cant wait to get back to nyc to see her bed and breakfast!"
2515,7144,10/8/09,26899,Maria Luisa,"When I first arrived at Stephanie's, she was very welcoming! I had no problem finding my way from the subway at Central Park North and I never felt unsafe walking from the subway to the apartment (a 5 min walk)When I got to the apartment complex at 7th ave (Chez Chic)there was no elevator but there was a really friendly neighbor that helped me carry my luggage up the stairs. I met Stephanie's very nice husband and her two beautiful children and they were never a bother! And she even let me use her laptop so I can check my email and keep in touch with my family.
I was free to come and go anytime I wanted to and having my own bathroom was a bonus! The bed was REALLY comfy, the air conditioning was a relief and the closet was spacious.
 Not too far up the street there was a 24 hour market that was awesome with a lot of great stuff to choose from so I was always able to make my own breakfast, lunch and dinner!! Going to and from uptown to midtown Manhattan was very easy and convenient with the subways running 24 hours (only a 25 min ride to Time Square) and there was always people around so you never felt alone!!
Over all I really enjoyed my stay at Chez Chic and New York was a great city! I recommend any place Stephanie has available!! 
Enjoy your time in New York!"
2515,7350,13/8/09,26718,Greg,awesome couldn't have been better.
